# These are MACS! To convert to reaction rate, just multiply by v_T = sqrt(2*kT/mu), where mu is the reduced mass, and kT is the column header.
Isotope,5keV,10keV,15keV,20keV,25keV,30keV,Error,40keV,50keV,60keV,80keV,100keV
1H,0.87,0.53,0.40,0.33,0.285,0.254,0.020,0.215,0.193,0.178,0.162,0.153
3He,,,,,,0.0076,0.0006,,,,,
7Li,0.102,0.072,0.059,0.051,0.046,0.042,0.004,0.038,0.035,0.033,0.031,0.030
12C,0.0126,0.0125,0.013,0.0139,0.0147,0.0154,0.001,0.0169,0.0183,0.0196,0.022,0.024
13C,0.0073,0.0081,0.0093,0.012,0.016,0.021,0.004,0.032,0.041,0.046,0.050,0.050
14C,0.0037,0.0026,0.0021,0.0019,0.0017,0.0015,0.0004,0.0013,0.0012,0.0011,0.00093,0.00083
14N,0.183,0.101,0.071,0.057,0.046,0.041,0.06,0.033,0.027,0.022,0.019,0.016
15N,0.0025,0.0035,0.0042,0.0048,0.0053,0.0058,0.0005,0.0065,0.0072,0.0078,0.0087,0.0097
16O,0.016,0.022,0.027,0.031,0.035,0.038,0.004,0.044,.049,0.054,0.062,0.069
18O,0.0037,0.0051,0.0061,0.0070,0.00793,0.0089,0.0008,0.0108,0.0130,0.0157,0.0223,0.0293
19F,2.0,6.7,7.8,7.4,6.6,5.8,1.2,4.6,3.8,3.2,2.5,2.2
20Ne,0.088,0.062,0.053,0.060,0.084,0.119,0.011,0.191,0.242,0.259,0.272,0.253
21Ne,,,,1.7,1.6,1.5,0.9,1.3,1.2,,,
22Ne,0.221,0.133,0.103,0.088,0.074,0.059,0.006,0.059,0.044,0.044,0.044,0.04
23Na,1.4,5.2,3.4,2.7,2.2,2.1,0.2,1.7,1.5,1.4,1.3,1.2
24Mg,0.11,0.48,1.3,2.3,2.9,3.3,0.4,3.6,3.4,3.1,2.7,2.1
25Mg,4.8,5.0,5.5,6.0,6.2,6.4,0.4,6.2,5.7,5.3,4.4,3.6
26Mg,0.103,0.091,0.098,0.110,0.119,0.126,0.009,0.143,0.161,0.165,0.226,0.265
26Al,10,7,5.6,4.7,4.1,3.7,,3.1,2.6,2.3,1.9,1.6
27Al,11.2,6.8,5.4,4.6,4.1,3.74,0.3,3.3,3.0,2.8,2.5,2.3
28Si,0.29,0.86,1.9,2.5,2.8,2.9,0.3,2.8,2.7,2.5,2.2,1.9
29Si,10.3,14.4,13.3,11.3,9.5,7.9,0.9,5.8,4.4,3.4,2.3,1.7
30Si,124,43,22,13,8.8,6.5,0.6,3.8,2.6,1.9,1.3,0.96
31P,0.8,1.8,2.0,1.9,1.8,1.74,0.09,1.7,1.7,1.9,1.9,1.9
32S,1.3,3.0,3.7,4.0,4.1,4.1,0.2,4.0,3.8,3.6,3.3,2.9
33S,6.3,11,10,9.3,8.2,7.4,1.5,6.2,5.3,4.7,3.9,3.4
34S,0.367,0.256,0.213,0.204,0.212,0.226,0.010,0.250,0.262,0.267,0.269,0.265
36S,0.42,0.30,0.24,0.21,0.19,0.171,0.014,0.15,0.13,0.12,0.11,0.094
35Cl,26.0,22.3,17.6,14.1,11.7,10.0,0.3,7.9,6.6,5.8,4.8,4.1
36Cl,39,25,19,16,14,12,1,9.8,8.4,7.4,6.0,5.2
37Cl,6.95,4.94,3.72,2.99,2.50,2.15,0.08,1.66,1.34,1.12,0.8,0.6
36Ar,23.7,17.2,13.8,11.6,10.1,9.0,1.5,7.5,6.5,5.8,4.9,4.3
38Ar,10.6,6.5,4.8,3.9,3.4,3.0,0.3,2.5,2.2,2.0,1.8,1.6
39Ar,35,20,14,11,9.3,8.0,2.0,6.4,5.3,4.6,3.8,3.2
40Ar,2.9,2.7,2.5,2.5,2.6,2.6,0.2,2.6,2.6,2.5,,
39K,24.2,20.2,17.1,14.8,13.1,11.8,0.4,9.8,8.5,7.5,6.1,5.1
40K,130,74,54,43,36,31,7,24,20,17,13,11
41K,88.0,49.3,35.7,28.8,24.7,22.0,0.7,18.7,16.7,15.3,13.5,12.1
40Ca,11.3,12.1,10.3,8.6,7.5,6.7,0.7,5.8,5.4,5.2,4.9,4.9
41Ca,111,65,49,40,34,30,7,24,21,18,15,13
42Ca,30.3,25.9,21.6,18.9,17.0,15.6,2,13.7,12.3,11.3,9.4,8.0
43Ca,230,129,92.4,72.4,59.7,51,6,39.8,33.2,28.8,23.7,20.9
44Ca,9.9,13.4,12.5,11.2,10.2,9.4,1.3,8.1,7.1,6.2,5.0,4.2
45Ca,71,41,30,24,20,17.5,3.5,14.0,11.8,10.1,8.1,6.7
46Ca,7.2,8.6,8.0,7.0,6.1,5.3,0.5,4.2,3.5,3.0,2.4,2.0
48Ca,2.13,1.50,1.23,1.06,0.95,0.87,0.09,0.75,0.67,0.61,0.53,0.47
45Sc,226,154,116,95,80,69,5,54,44,38,31,27
46Ti,29.9,33.8,31.3,29.0,27.8,26.8,3.2,24.7,22.3,20.4,17.3,15.2
47Ti,213,146,111,89.6,74.9,64.4,7.7,50.5,42.3,37.0,30.8,27.4
48Ti,42.6,62.6,54.8,45.3,37.7,31.8,5.5,24.1,19.5,16.4,12.9,11.0
49Ti,52.1,38.2,32.4,28.1,24.8,22.1,2.1,18.2,15.7,14.0,11.9,10.8
50Ti,2.0,2.3,2.7,3.2,3.5,3.6,0.4,3.5,3.2,2.9,2.4,2.0
50V,233,113,81,66,56,50,9,41,36,32,26,22
51V,226,123,80,58,46,38,4,29,24,21,18,17
50Cr,229,125,87,68,57,49,13,39,33,29,23,19
51Cr,438,206,146,117,99,87,16,72,62,55,46,40
52Cr,10.3,8.9,9.1,9.1,8.9,8.8,2.3,8.5,8.1,7.8,7.1,6.6
53Cr,350,187,121,88,70,58,10,45,36,31,27,19
54Cr,16.0,13.7,10.8,8.0,7.2,6.7,1.6,6.2,5.4,5.1,4.5,4.2
55Mn,251,113,74,57,47,39.6,3,31,26,24,19,17
54Fe,111,75.7,52.5,39.9,32.4,27.6,1.8,22.3,19.5,17.9,16.2,15.3
55Fe,367,175,124,100,85,75,12,62,54,48,40,35
56Fe,11.8,9.73,10.8,11.5,11.7,11.7,0.5,11.3,10.6,9.97,8.63,7.42
57Fe,124,86,67,54,46,40,4,32,26,23,19,16
58Fe,27,21,17,15,13,12.1,1.3,11,9.8,9.3,8.6,8.2
59Co,110,82,63,52,44,38,4,32,27,22,12,8
58Ni,39.8,52.0,49.9,46.2,42.9,41,2,36.3,33.5,31.3,28,25.3
59Ni,405,199,143,115,99,87,14,72,62,56,46,40
60Ni,79,70,57,46,41,30,3,28,27,24,21,20
61Ni,265,177,135,111,94,82,8,66,56,50,42,37
62Ni,69,33,22,17,14,12.5,4,10,9.2,8.5,7.7,7.1
63Ni,112,66,50,41,35,31,6,25,20,17,13,10
64Ni,12.8,14.8,13.1,11.2,9.8,8.7,0.9,7.4,6.6,6.1,5.5,5.2
63Cu,331,182,136,114,102,94,10,83,79,76,66,58
65Cu,152,79,58,49,44,41,4,37,33,31,27,25
64Zn,139,108,88,75,66,59,5,52,47,44,40,38
65Zn,512,314,246,207,181,162,27,135,118,104,87,75
66Zn,84,69,55,45,39,35,3,30,28,26,25,24
67Zn,503,318,243,200,172,153,15,126,109,97,82,71
68Zn,93,48,33,26,22,19.2,2.4,16,14,13,12,11
70Zn,57,38,30,26.3,23.5,21.5,2.0,18.7,16.9,15.5,13.7,12.5
69Ga,331,238,197,174,153,139,6,121,113,102,87,79
71Ga,398,249,191,159,138,123,8,103,90,81,69,60
70Ge,201,145,121,106,97,88,5,75,69,63,55,49
72Ge,199,133,106,91,80,73,7,63,57,52,47,43
73Ge,772,497,385,319,275,243,47,198,169,148,119,101
74Ge,149,99,78,66,58,53,7,46,41,37,33,31
76Ge,89,61,48,41,36,33,15,28,25,23,20,19
75As,1790,1137,878,732,635,568,35,478,418,389,331,273
74Se,677,466,378,327,292,267,25,232,209,192,170,156
76Se,363,285,235,202,178,164,8,144,131,123,114,109
77Se,999,695,582,510,458,418,71,360,319,287,240,205
78Se,290,197,158,135,120,109,41,94,84,77,68,63
79Se,741,496,394,334,293,263,46,220,191,169,138,117
80Se,116,79,62,54,47,42,3,36,32,29,25,22
82Se,25,18,14,12,10,9,8,8,7,6,5,5
79Br,1767,1177,932,791,696,627,42,532,468,435,370,305
81Br,960,614,478,402,350,313,16,264,232,217,187,157
78Kr,332,361,374,358,338,321,26,295,275,261,243,232
79Kr,1713,1387,1231,1118,1030,959,162,846,759,687,576,492
80Kr,935,601,404,338,296,267,14,237,218,202,180,164
81Kr,1389,994,844,743,667,607,105,518,455,408,342,298
82Kr,120,122,118,107,98,90,6,80,71,69,62,58
83Kr,902,600,406,329,279,243,15,197,159,147,120,104
84Kr,260,94,74,55,45,38,4,30,26,23,19,17
85Kr,174,113,87,72,62,55,45,45,39,35,29,25
86Kr,2.1,3.2,3.6,3.7,3.5,3.4,0.3,2.9,2.5,2.2,1.8,1.5
85Rb,724,482,375,313,271,240,9,199,172,153,129,110
86Rb,450,320,274,243,220,202,163,175,156,142,122,108
87Rb,35.3,24.4,20.6,18.4,16.4,15.5,0.5,13.8,12.5,11.7,10.6,9.8
84Sr,885,622,517,446,400,368,126,322,286,257,213,185
86Sr,211,134,100,86,71,64,3,53,46,41,34,29
87Sr,345,207,155,127,110,92,4,76,65,56,45,38
88Sr,11,12,10,8.3,7.1,6.2,0.3,5.1,4.4,4.0,3.6,3.4
89Sr,69,43,32,26,22,19,14,15,13,12,10,8
89Y,68,40,30,25,21,19.0,0.6,16,14,13,11,10
90Zr,43,34,29,25,23,21,2,18,17,16,15,14
91Zr,254,147,105,83,69,60,8,49,43,39,34,32
92Zr,131,77,55,44,37,33,4,28,26,25,23,23
93Zr,340,213,161,131,110,95,10,75,62,54,44,37
94Zr,74,52,40,33,29,26,1,23,22,22,21,21
95Zr,296,185,136,109,91,79,12,63,54,47,39,34
96Zr,56,28,19,14,12,10.7,0.5,8.3,6.8,5.8,4.4,3.5
93Nb,887,565,430,354,303,266,5,216,184,161,130,110
94Nb,925,773,677,598,534,482,92,403,346,303,245,207
95Nb,892,620,487,406,351,310,65,255,218,193,159,138
92Mo,277,158,115,93,79,70,10,59,53,49,45,43
94Mo,321,200,154,128,113,102,20,89,81,77,71,68
95Mo,785,559,445,375,327,292,12,244,212,197,164,140
96Mo,409,248,184,149,127,112,8,93,82,78,70,63
97Mo,952,671,528,441,382,339,14,281,244,220,185,164
98Mo,298,186,146,124,109,99,7,85,76,70,60,54
99Mo,703,490,383,318,273,240,40,193,161,138,107,87
100Mo,281,189,151,131,117,108,14,96,89,84,79,76
99Tc,1849,1370,1131,976,865,781,50,662,580,530,445,377
96Ru,475,393,339,296,263,238,60,201,177,159,137,124
98Ru,461,331,265,223,194,173,36,144,126,113,97,87
99Ru,1226,1004,877,776,696,631,99,533,463,410,337,287
100Ru,525,383,307,261,229,206,13,175,156,143,126,117
101Ru,2405,1710,1401,1216,1090,996,40,865,775,709,615,551
102Ru,561,366,285,239,208,186,11,156,136,121,102,89
103Ru,1106,731,560,459,392,343,52,276,232,201,158,130
104Ru,469,310,244,206,180,161,10,136,119,106,90,79
103Rh,1890,1392,1150,998,892,811,14,695,616,556,472,413
102Pd,894,657,540,466,414,375,118,320,283,257,222,199
104Pd,685,523,426,364,321,289,29,246,219,199,176,163
105Pd,2538,1899,1603,1421,1294,1200,60,1063,968,900,795,725
106Pd,700,472,374,318,280,252,25,214,188,169,144,127
107Pd,2734,2142,1823,1612,1459,1340,60,1165,1040,945,800,700
108Pd,555,376,299,255,225,203,20,173,152,138,118,103
110Pd,449,291,225,188,163,146,20,122,106,94,79,68
107Ag,1602,1246,1064,946,860,792,30,696,626,576,486,445
109Ag,1669,1270,1071,942,851,788,30,681,611,557,481,427
110Ag,2026,1606,1461,1345,1251,1172,188,1047,949,867,738,639
106Cd,685,522,434,375,331,302,24,260,235,218,198,186
108Cd,496,371,302,257,223,202,9,171,152,139,125,116
110Cd,641,457,366,310,272,246,10,212,193,181,166,159
111Cd,1941,1538,1341,1218,1130,1063,125,965,895,842,765,710
112Cd,685,451,353,297,260,235,30,196,171,153,128,113
113Cd,1547,1156,975,863,786,728,80,645,588,544,482,439
114Cd,342,233,186,159,139,127,5,108,95,86,73,65
115gCd,708,499,408,354,317,290,62,252,226,206,176,155
115mCd,,,,,,601,200,,,,,
116Cd,157,108,86,74,64,59,2,50,45,40,35,31
113In,2306,1521,1193,1004,878,787,70,662,580,519,437,386
114mIn,,,,,,2595,1300,,,,,
115In,1619,1189,984,857,771,706,70,614,551,505,445,409
112Sn,479,370,306,264,227,210,12,204,159,145,128,119
114Sn,405,249,197,170,149,134.4,1.8,115,102,94,84,79
115Sn,748,551,464,413,373,342.4,8.7,299,269,247,219,199
116Sn,281,171,134,116,102,91.4,0.9,78,70,65,58,54
117Sn,746,549,455,396,352,319,5,271,239,215,182,159
118Sn,226,126,95,80,69,62.1,0.6,53,47,44,40,37
119Sn,558,390,302,245,207,180,10,144,121,106,88,78
120Sn,130,72,55,46,40,36.0,0.5,31,28,26,23,22
121Sn,479,327,259,217,188,167,30,137,118,104,86,74
122Sn,73.0,46.3,34.6,28.3,24.5,21.9,1.5,18.8,16.7,15.3,13.1,11.5
124Sn,72.5,35.2,23.1,17.3,14.1,12.0,1.8,9.5,8.0,7.1,5.8,5.0
125Sn,211,131,98,80,68,59,9,48,41,36,30,26
126Sn,26,19,15,12,11,10,4,8.0,7.0,6.4,5.5,5.0
121Sb,1301,860,735,649,584,532,16,455,401,361,306,270
122Sb,1927,1379,1203,1076,976,894,162,768,674,601,496,422
123Sb,805,549,441,377,334,303,9,259,229,207,176,156
125Sb,770,509,400,337,295,260,70,222,195,175,150,132
120Te,1037,708,578,504,455,420,103,372,341,318,286,263
122Te,874,541,427,368,326,295,3,255,230,214,193,180
123Te,1995,1436,1176,1017,911,832,8,719,641,583,502,444
124Te,477,289,226,195,171,155,2,133,120,112,101,95
125Te,1190,815,655,560,487,431,4,353,302,267,221,191
126Te,250,152,120,103,90,81.3,1.4,70,62,57,51,48
128Te,91,70,59,52,48,44.4,1.3,39,37,35,32,31
130Te,35,26,21,18,16,14.7,2.8,13,12,11,9.6,9.1
127I,1659,1145,929,797,705,635,30,535,467,417,345,302
129I,1134,803,651,556,490,441,22,373,328,295,250,202
124Xe,1777,1039,857,758,692,644,83,578,536,505,465,437
126Xe,900,604,491,429,388,359,51,320,295,278,255,238
128Xe,622,417,339,296,268,248,66,221,204,192,176,165
129Xe,1499,872,700,598,526,472,71,396,346,309,269,227
130Xe,341,234,192,168,152,141,51,125,115,108,99,93
131Xe,1040,661,515,433,379,340,65,287,252,227,191,165
132Xe,167,119,95.4,82.5,71.6,64.6,5.3,54.7,49.7,45.7,40.8,37.8
133Xe,372,243,191,161,141,127,34,108,95,86,74,65
134Xe,47.5,35.1,28.9,24.9,22.2,20.2,1.7,17.4,15.9,14.4,12.8,11.9
136Xe,5.6,2.4,1.6,1.3,1.1,0.91,0.08,0.72,0.60,0.52,0.41,0.35
133Cs,1365,931,745,636,563,509,21,434,384,347,296,262
134Cs,2106,1207,971,833,737,664,174,559,486,430,352,298
135Cs,595,384,300,252,221,198,17,167,147,133,113,100
130Ba,2379,1284,1031,901,818,760,110,683,634,601,556,526
132Ba,1029,659,526,455,410,379,137,339,315,298,276,261
134Ba,360,283,235,208,190,176.0,5.6,155,141,131,117,108
135Ba,1274,846,672,573,505,455,15,387,342,310,266,237
136Ba,180,115,90.4,76.9,67.8,61.2,2.0,52.5,46.2,43.8,39.3,36.7
137Ba,206.2,140.0,110.6,95.4,84.4,76.3,2.4,65.8,58.9,53.9,47.1,42.5
138Ba,13.4,7.85,5.93,4.95,4.38,4.00,0.20,3.49,3.14,2.89,2.52,2.23
139La,113,71,56,48,42,38.4,2.7,33,30,28,26,24
132Ce,5050,2799,2222,1913,1712,1570,420,1382,1266,1187,1087,1027
133Ce,7292,4543,3702,3202,2856,2600,400,2240,2000,1817,1568,1400
134Ce,3298,1724,1354,1167,1049,967,351,861,797,754,702,671
135Ce,4083,2383,1913,1643,1458,1320,260,1126,997,903,776,694
136Ce,1016,519,409,356,323,300,21,271,253,241,227,214
137Ce,3168,1776,1408,1206,1071,973,256,839,751,688,603,549
138Ce,462,303,245,214,193,179,5,160,148,140,129,121
139Ce,769,399,311,265,235,214,120,185,166,152,134,127
140Ce,23,19.5,16,13.5,12,11.0,0.4,9.5,8.7,8.1,7.2,6.6
141Ce,260,157,119,99,85,76,33,64,56,50,43,39
142Ce,71.9,48.5,39.1,33.8,30.4,28.0,1,24.9,22.9,21.7,20.0,19.0
141Pr,412,247,182,148,126,111.4,1.4,91.5,78.3,69.0,56.2,47.6
142Pr,1668,886,670,551,472,415,178,336,284,246,194,167
143Pr,1187,729,555,458,395,350,86,289,249,221,183,159
142Nd,98.6,65.1,51.3,43.4,38.4,35.0,0.7,30.7,27.7,25.5,22.9,21.0
143Nd,925,528,392,321,276,245,3,204,178.4,160.6,137.5,122.9
144Nd,239,147.0,115,98.9,88.5,81.3,1.5,71.2,64.7,60.3,54.2,50.4
145Nd,1481,895,676,557,480,425,5,351,304,270,227,199
146Nd,210,147.1,121.7,107.4,98.0,91.2,1.0,82.1,76,71.7,65.6,61.3
147Nd,2191,1236,909,735,623,544,90,437,368,318,251,208
148Nd,414,266,209,177,159,147,2,130,120,113,101,93
150Nd,591,353,261,212,181,159,10,143,113,101,86,77
147Pm,5166,2880,2099,1703,1459,1290,470,1071,934,836,696,599
148gPm,13479,6439,4756,3902,3357,2970,500,2447,2107,1865,1536,1317
148mPm,,,,,,2453,1200,,,,,
149Pm,9728,5544,4067,3302,2830,2510,750,2093,1829,1639,1373,1187
144Sm,217,155,126,110,100,92,6,82,75,70,64,60
147Sm,3250,1963,1496,1246,1085,973,10,824,729,662,573,514
148Sm,664,415,330,287,259,241,2,217,203,194,183,175
149Sm,7326,4017,2948,2409,2059,1820,17,1515,1329,1203,1040,935
150Sm,1176,742,587,505,455,422,4,380,355,337,312,293
151Sm,11535,6535,4729,3762,3144,2710,420,2132,1762,1503,1159,941
152Sm,1249,863,687,581,519,473,4,410,365,331,283,250
153Sm,5243,2836,1990,1552,1280,1095,175,855,707,606,477,399
154Sm,561,395,315,265,232,206,12,171,148,131,109,96
151Eu,12638,7853,5942,4894,4233,3775,150,3184,2814,2555,2209,1962
152Eu,20770,13560,11190,9647,8498,7600,1200,6273,5341,4651,3697,3070
153Eu,7737,5041,4007,3434,3057,2780,100,2390,2117,1909,1614,1400
154Eu,12940,7829,6427,5552,4914,4420,670,3687,3166,2774,2222,1852
155Eu,4661,2806,2112,1736,1493,1320,84,1082,923,807,646,540
152Gd,3275,1951,1507,1280,1142,1049,17,933,864,818,756,712
153Gd,16290,9075,7078,5922,5131,4550,700,3736,3188,2789,2241,1879
154Gd,2801,1863,1477,1258,1124,1028,12,898,810,745,653,591
155Gd,7264,5030,3980,3347,2943,2648,30,2233,1948,1738,1441,1238
156Gd,1629,1117,892,760,677,615,5,528,468,424,364,325
157Gd,4251,2803,2163,1791,1547,1369,15,1123,959,841,683,580
158Gd,842,595,479,408,360,324,3,272,236,209,174,152
160Gd,546,310,243,203,175,154,20,126,107,93,80,66
159Tb,4365,2930,2330,2010,1750,1580,150,1340,1185,1070,910,800
160Tb,9155,5523,4583,4001,3574,3240,510,2740,2380,2106,1712,1441
156Dy,5442,2712,2126,1850,1682,1567,145,1412,1307,1229,1117,1039
158Dy,3190,1955,1524,1298,1158,1060,400,928,842,778,684,617
160Dy,2267,1578,1271,1096,978,890,12,764,677,613,524,465
161Dy,5710,3891,3051,2554,2214,1964,19,1615,1380,1210,977,825
162Dy,1129,796,641,553,492,446,4,379,332,297,250,219
163Dy,3178,2132,1671,1412,1238,1112,11,936,817,729,606,522
164Dy,592,405,320,271,237,212,3,175,151,133,109,93.6
163Ho,5806,3385,2872,2579,2303,2125,95,1868,1690,1558,1370,1237
165Ho,3301,2316,1867,1598,1416,1280,100,1092,967,877,761,692
162Er,4906,2646,2152,1902,1741,1624,124,1459,1346,1262,1144,1065
164Er,3067,1940,1537,1319,1182,1084,51,951,861,797,694,633
166Er,1304,970,802,695,620,563,56,481,426,385,332,299
167Er,4457,2817,2192,1824,1588,1425,143,1217,1097,1021,933,885
168Er,790,594,490,422,374,338,44,285,250,223,188,168
169Er,1926,1244,984,835,731,653,114,539,459,401,320,269
170Er,600,374,280,228,194,170,7,138,117,103,85.4,75.6
169Tm,3381,2200,1711,1436,1257,1129,56,956,845,769,668,610
170Tm,4944,3028,2550,2252,2036,1870,330,1627,1454,1320,1124,982
171Tm,1576,952,732,614,539,486,144,413,364,328,279,246
168Yb,3231,1815,1510,1349,1241,1160,440,1043,961,900,814,757
170Yb,1863,1322,1077,936,840,768,7,665,592,539,464,414
171Yb,3052,2183,1757,1509,1339,1210,12,1024,893,795,657,565
172Yb,827,599,488,423,377,341,3,290,254,227,190,166
173Yb,2192,1456,1139,960,841,754,7,633,552,492,410,355
174Yb,374,271,220,190,168,151,2,125,108,95,78,67
175Yb,1578,1032,816,696,616,558,83,477,422,381,322,282
176Yb,295,213,172,147,129,116,2,96,82,72,58,50
175Lu,2871,2036,1645,1412,1257,1146,44,1001,917,862,798,762
176Lu,4115,2745,2187,1874,1673,1532,69,1345,1223,1135,1008,929
174Hf,2453,1436,1219,1100,1019,956,283,863,797,746,674,625
176Hf,1015,736,615,543,493,455,20,397,356,325,279,250
177Hf,4141,2740,2167,1854,1646,1500,100,1302,1172,1078,944,852
178Hf,853,545,436,380,338,314,10,273,244,222,190,172
179Hf,2884,1808,1406,1189,1052,956,50,828,742,679,590,524
180Hf,478,313,253,219,196,179,5,153,134,121,101,89
181Hf,575,381,301,253,219,194,31,158,134,116,93,78
182Hf,274,190,158,140,127,117,41,101,88,79,65,56
179Ta,2854,1938,1709,1551,1430,1334,422,1190,1087,1007,890,805
180mTa,2773,2182,2008,1861,1740,1640,260,1485,1370,1281,1148,1052
181Ta,2765,1633,1221,1002,863,766,15,639,557,500,423,374
182Ta,2476,1630,1432,1302,1201,1120,180,994,898,822,705,619
180W,1182,887,738,647,583,536,60,471,428,399,363,343
182W,637,459,379,331,298,274,8,239,215,197,173,155
183W,1594,1030,797,665,578,515,15,430,374,333,277,242
184W,469,361,305,269,243,224,10,196,178,163,144,131
185W,1983,1335,1060,897,786,703,113,585,504,444,360,304
186W,395,290,241,212,191,176,5,155,140,129,114,103
185Re,3445,2194,1925,1758,1634,1535,62,1385,1276,1191,1065,975
186Re,3120,2144,1925,1772,1650,1550,250,1394,1276,1183,1040,933
187Re,3755,1997,1620,1406,1263,1160,57,1015,915,839,729,650
184Os,1508,930,810,742,694,657,202,600,558,525,476,442
186Os,1040,825,655,525,463,422,16,366,329,311,275,239
187Os,2750,2038,1550,1200,1020,896,30,733,629,583,492,401
188Os,875,744,600,486,440,399,15,350,320,303,268,234
189Os,4390,2599,1928,1564,1332,1168,47,951,811,712,580,494
190Os,808,547,435,370,327,295,45,251,221,199,170,150
191Os,3264,2237,1812,1568,1407,1290,280,1128,1017,934,814,729
192Os,647,487,413,367,335,311,45,276,252,234,208,190
191Ir,4352,2732,2088,1733,1505,1350,43,1132,996,903,785,717
192Ir,4276,2811,2519,2333,2192,2080,450,1909,1784,1685,1534,1418
193Ir,3100,2000,1540,1280,1110,994,70,832,727,653,561,507
190Pt,1527,941,823,757,711,677,183,630,598,575,543,519
192Pt,1354,941,779,689,630,590,120,537,504,481,450,427
193Pt,3106,1814,1523,1350,1223,1123,240,971,860,774,650,564
194Pt,873,597,489,432,392,365,85,330,307,291,268,250
195Pt,2167,1486,1210,1051,942,860,200,737,648,577,472,397
196Pt,501,335,271,236,214,197,23,177,164,155,142,133
198Pt,236,150,117,100,89,82,12,72,66,63,57,53
197Au,2050,1208,904,746,648,582,9,496,442,406,356,321
198Au,2101,1268,1096,988,906,840,147,740,665,606,516,447
196Hg,1622,933,803,734,686,650,82,600,566,543,511,489
198Hg,588,318,240,205,186,173,15,159,150,145,139,135
199Hg,1348,755,550,467,411,374,23,325,291,264,224,198
200Hg,324,198,155,135,123,115,12,106,99,94,86,80
201Hg,950,593,446,361,305,264,14,211,177,155,122,106
202Hg,179,106,87,80,77,74,6,70,66,63,59,55
203Hg,375,223,165,133,112,98,17,79,67,59,49,42
204Hg,93,63,51,46,44,42,4,39,37,35,31,29
203Tl,380,307,214,167,140,124,8,93,76,63,50,40
204Tl,874,412,317,269,238,215,38,183,161,145,122,106
205Tl,102,89,74,65,58,54,4,46,40,35,25,15
204Pb,168,139,118,105,96,89.5,5.5,80,73,67,57,50
205Pb,604,268,197,162,140,125,22,104,91,81,68,60
206Pb,25.5,23.4,21.0,17.3,16.2,15.8,0.8,15.1,14.3,13.6,12.1,11.0
207Pb,13.9,12.3,12.3,11.6,10.7,9.7,1.3,8.1,6.9,6.0,5.2,4.7
208Pb,0.058,0.118,0.198,0.268,0.320,0.36,0.04,0.394,0.410,0.411,0.395,0.366
209Bi,11.25,6.13,4.27,3.40,2.95,2.70,0.48,2.46,2.33,2.2,2.1,2
210Bi,18,10,8,7,7,6,5,5,5,4,4,3
210Po,8,6,5,4,4,3.3,3,3,2.5,2.4,2.3,2.2
