# Reference: (J,PR/C,7,1356,1973)
E,sigma
0.92708,0.002
0.94726,0.002
0.98655,0.004
1.0099,0.073
1.0184,0.005
1.0322,0.011
1.0375,0.038
1.0428,0.007
1.0577,0.004
1.0694,0.004
1.0768,0.006
1.1034,0.007
1.1108,0.007
1.1236,0.009
1.1352,0.006
1.1448,0.014
1.1501,0.017
1.1554,0.023
1.1607,0.017
1.166,0.026
1.1745,0.024
1.182,0.017
1.1873,0.021
1.1947,0.023
1.2,0.018
1.2053,0.011
1.2117,0.009
1.2202,0.012
1.2329,0.012
1.2404,0.007
1.2489,0.009
1.2584,0.014
1.2669,0.009
1.2733,0.018
1.2807,0.012
1.2871,0.011
1.2935,0.012
1.2977,0.092
1.3051,0.121
1.3105,0.019
1.3168,0.026
1.3253,0.079
1.3285,0.019
1.3328,0.013
1.3402,0.026
1.3466,0.013
1.3519,0.031
1.3583,0.016
1.3636,0.019
1.371,0.018
1.3742,0.03
1.3784,0.013
1.3859,0.019
1.3912,0.028
1.3997,0.019
1.4103,0.026
1.4156,0.031
1.4209,0.021
1.4241,0.03
1.4294,0.019
1.4347,0.097
1.4378,0.23
1.4452,0.484
1.4515,0.64
1.4579,0.593
1.4633,0.491
1.4675,0.421
1.4718,0.316
1.475,0.238
1.4793,0.148
1.4814,0.119
1.4857,0.108
1.4899,0.075
1.4984,0.058
1.5037,0.05
1.5133,0.047
1.5218,0.038
1.5271,0.055
1.5314,0.04
1.5398,0.103
1.543,0.048
1.5526,0.053
1.5568,0.06
1.5632,0.062
1.5696,0.069
1.5728,0.048
1.578,0.177
1.5887,0.069
1.594,0.096
1.5972,0.086
1.6036,0.115
1.6121,0.096
1.6142,0.128
1.6205,0.169
1.629,0.243
1.6364,0.242
1.6396,0.279
1.6449,0.296
1.6492,0.306
1.6523,0.333
1.6566,0.311
1.6619,0.325
1.6672,0.36
1.6704,0.321
1.6757,0.316
1.6789,0.308
1.6863,0.323
1.6906,0.344
1.698,0.377
1.7044,0.349
1.7097,0.41
1.7181,0.469
1.7182,0.44
1.7215,0.484
1.7289,0.535
1.7374,0.603
1.7427,0.858
1.7533,0.993
1.7565,1.282
1.7639,1.502
1.7671,1.638
1.7735,1.706
1.7798,2.164
1.7841,2.283
1.7894,2.368
1.7926,2.198
1.7958,1.944
1.8032,1.554
1.8064,1.316
1.8107,1.011
1.8149,0.79
1.8213,0.672
1.8266,0.553
1.8351,0.434
1.8425,1.52
1.8489,0.96
1.8574,0.994
1.8627,0.96
1.8669,1.045
1.8701,0.977
1.8754,0.994
1.8786,0.706
1.8882,0.825
1.8935,1.029
1.8967,0.655
1.9009,0.842
1.9084,0.723
1.9137,0.791
1.9158,1.046
1.9201,0.842
1.9232,0.69
1.9296,0.927
1.9339,0.74
1.9392,1.131
1.9434,1.555
1.9476,2.013
1.9529,3.166
1.9571,4.116
1.9613,5.218
1.9666,6.287
1.9698,5.337
1.9762,5.184
1.9815,5.049
1.9847,4.557
1.9911,3.895
1.9943,3.692
1.9996,3.353
2.0039,3.2
2.0081,3.234
2.0124,3.455
2.0187,4.795
2.0219,5.778
2.0261,6.66
2.0325,6.067
2.0378,5.541
2.0431,4.795
2.0485,4.082
2.0506,3.828
2.0559,4.167
2.0601,4.1
2.0654,4.184
2.0707,4.456
2.074,4.015
2.0761,4.608
2.0783,4.194
2.0847,4.533
2.09,5.043
2.0964,5.382
2.1017,5.552
2.1091,6.91
2.1165,8.097
2.1229,7.928
2.1271,9.964
2.1335,10.643
2.1378,11.152
2.142,13.357
2.1484,14.884
2.1526,16.75
2.1569,18.107
2.1632,18.616
2.1675,19.125
2.176,18.956
2.1823,20.483
2.1866,19.466
2.1908,19.636
2.1961,19.467
2.2004,18.788
2.2068,17.263
2.211,16.415
2.2142,15.737
2.2185,14.889
2.2248,14.211
2.2302,11.837
2.2344,10.651
2.2387,9.803
2.245,8.786
2.2514,7.09
2.2546,6.243
2.2599,4.208
2.2652,3.53
2.2705,2.682
2.2748,2.174
2.2801,2.344
2.2843,1.835
2.2907,3.023
2.2939,5.228
2.295,6.585
2.2992,8.79
2.3045,9.469
2.3098,8.96
2.3151,8.113
2.3194,6.248
2.3247,5.57
2.3311,4.892
2.3374,4.553
2.3417,4.214
2.3502,3.537
2.3544,4.046
2.3587,5.403
2.3661,12.865
2.3714,18.971
2.3756,20.159
2.3799,18.972
2.3852,13.715
2.3916,10.324
2.3969,8.119
2.4012,7.441
2.4065,11.681
2.4128,14.395
2.4171,13.887
2.4213,12.531
2.4266,10.496
2.432,7.613
2.4373,5.07
2.4447,3.713
2.4511,3.544
2.4585,3.375
2.4659,4.393
2.4734,4.903
2.4787,6.599
2.4829,7.956
2.4893,9.822
2.4946,13.554
2.501,14.911
2.5063,13.555
2.5116,10.842
2.5159,8.637
2.5212,6.603
2.5265,5.755
2.5318,5.077
2.5371,4.908
2.5414,4.739
2.5467,5.248
2.5541,6.266
2.5594,6.266
2.5636,6.097
2.57,6.267
2.5743,5.589
2.5806,6.098
2.586,6.099
2.5923,6.608
2.5976,7.287
2.6019,7.796
2.6051,8.644
2.6104,8.984
2.6167,10.171
2.622,10.681
2.6274,12.207
2.6337,12.886
2.639,13.395
2.6422,14.413
2.6496,16.449
2.656,20.181
2.6613,23.573
2.6655,25.948
2.6709,27.644
2.6762,29.51
2.6804,28.832
2.6868,26.628
2.6921,23.745
2.6974,21.032
2.7027,18.488
2.7091,17.132
2.7144,15.436
2.7197,13.911
2.7251,11.537
2.7304,10.689
2.7346,9.333
2.741,7.976
2.7463,7.129
2.7527,6.281
2.7591,6.112
2.7654,5.774
2.7697,5.265
2.7761,4.757
2.7792,4.248
2.7846,3.909
2.7909,4.08
2.7962,3.741
2.8026,4.759
2.8079,4.081
2.8185,3.912
2.8228,4.76
2.8302,6.287
2.8355,6.966
2.8398,7.475
2.8451,7.815
2.8515,7.137
2.8578,6.459
2.8621,8.834
2.8684,13.244
2.8759,15.788
2.8812,14.771
2.8865,14.602
2.8918,13.924
2.896,17.147
2.9024,28.171
2.9087,33.09
2.9162,32.581
2.9204,30.546
2.931,34.957
2.9363,49.882
2.9426,61.075
2.9533,51.749
2.9597,40.895
2.965,34.281
2.9703,29.194
2.9831,25.294
2.9916,25.973
2.9937,28.347
2.9979,30.044
3.0043,35.132
3.0107,40.051
3.0159,48.022
3.0223,56.842
3.0276,69.562
3.0339,78.381
3.0392,80.247
3.0445,79.739
3.0509,77.365
3.0541,78.213
3.0573,78.892
3.0626,85.337
3.0689,93.478
3.0753,99.584
3.0806,95.005
3.0859,85.0
3.0902,75.842
3.0966,63.971
3.102,54.304
3.1073,50.404
3.1147,47.521
3.119,51.083
3.1253,51.592
3.1327,56.511
3.1434,58.717
3.1487,57.869
3.154,56.513
3.1604,51.765
3.1657,48.712
3.1721,43.964
3.1774,40.233
3.1827,40.403
3.1891,47.866
3.1954,55.838
3.2007,54.651
3.2061,46.68
3.2114,37.862
3.2167,30.23
3.2231,25.821
3.2295,23.447
3.2359,21.582
3.2412,20.226
3.2476,19.039
3.255,18.022
3.2603,17.684
3.2656,17.684
3.272,16.497
3.2773,16.837
3.2837,16.837
3.2879,16.159
3.2932,15.99
3.2985,16.16
3.306,16.5
3.3123,17.009
3.3177,17.688
3.324,18.706
3.3304,19.046
3.3368,20.064
3.3431,21.082
3.3495,23.457
3.3548,27.697
3.3601,37.364
3.3686,45.167
3.3739,47.032
3.3802,46.524
3.3866,44.49
3.3919,43.133
3.3972,41.607
3.4036,44.491
3.411,49.579
3.4174,51.106
3.4238,50.767
3.428,47.545
3.4344,47.037
3.4408,45.342
3.4482,43.646
3.4525,40.085
3.4578,40.425
3.4642,38.39
3.4695,37.712
3.4748,37.034
3.4822,36.696
3.4896,38.562
3.4949,43.989
3.5013,55.013
3.5076,61.798
3.5129,57.897
3.5204,51.114
3.5257,46.535
3.53,43.483
3.5374,42.127
3.5502,43.824
3.5565,46.368
3.5629,50.269
3.5671,53.323
3.5746,55.697
3.5809,62.312
3.5873,69.944
3.5947,78.255
3.601,87.244
3.6074,93.181
3.6137,98.439
3.6211,99.796
3.6265,98.948
3.6328,100.14
3.6392,100.14
3.6445,101.66
3.6509,99.12
3.6573,95.728
3.6637,87.588
3.6679,84.027
3.6732,80.636
3.6818,75.379
3.6881,75.04
3.6955,81.825
3.6976,88.269
3.7061,87.761
3.7136,88.61
3.7199,94.037
3.7284,109.3
3.7347,118.46
3.7411,124.74
3.7485,134.23
3.7559,135.76
3.7613,127.11
3.7655,112.19
3.772,101.67
3.7783,94.551
3.7847,93.534
3.79,91.16
3.7985,92.856
3.8038,95.74
3.8102,102.18
3.8155,105.92
3.8229,109.48
3.8293,109.48
3.8346,104.9
3.842,105.92
3.8484,103.21
3.8548,98.966
3.8623,90.996
3.8676,86.247
3.875,80.143
3.8814,79.465
3.8867,75.904
3.8931,74.886
3.8995,74.378
3.9059,73.022
3.9112,70.648
3.9175,70.818
3.9218,71.666
3.9239,73.023
3.9303,71.328
3.9377,72.346
3.9515,70.821
3.9579,73.874
3.9643,76.249
3.9727,83.033
3.977,86.086
3.9833,91.683
3.9908,94.398
3.9982,100.5
4.0045,109.15
4.013,117.97
4.0214,130.18
4.0267,137.48
4.0309,147.82
4.0384,155.12
4.0468,159.19
4.0543,154.44
4.0586,148.16
4.0671,130.87
4.0724,121.54
4.0778,118.32
4.0841,116.45
4.0895,110.52
4.098,104.24
4.1044,95.763
4.1097,89.658
4.1172,87.115
4.1214,82.197
4.1278,81.349
4.1373,84.572
4.1437,93.561
4.15,111.37
4.1585,124.09
4.1659,128.67
4.1722,131.89
4.1786,123.41
4.1829,117.48
4.1893,106.45
4.1968,99.671
4.2032,88.987
4.2096,80.847
4.216,76.608
4.2234,70.842
4.2287,68.977
4.2362,67.621
4.2415,67.791
4.2478,66.604
4.2553,65.926
4.2617,64.061
4.2691,64.231
4.2765,63.893
4.2829,64.402
4.2893,62.706
4.2956,65.929
4.3031,70.339
4.3105,79.159
4.3189,88.318
4.3242,88.657
4.3317,82.552
4.3381,76.278
4.3434,74.582
4.3508,74.074
4.3583,68.987
4.3636,67.461
4.3711,63.222
4.3785,61.357
4.3828,57.117
4.3913,54.574
4.3987,50.165
4.4051,50.335
4.4114,55.762
4.4189,58.477
4.4263,58.816
4.4327,58.138
4.4454,55.595
4.4539,53.561
4.4603,52.035
4.4667,53.053
4.4805,51.528
4.4879,53.903
4.4943,53.564
4.5006,53.904
4.5092,52.039
4.5155,56.279
4.5304,56.45
4.5367,57.468
4.5452,57.638
4.5506,58.487
4.5569,61.37
4.5643,65.272
4.5717,76.126
4.5802,95.97
4.5876,105.3
4.594,100.55
4.6014,94.954
4.6067,96.82
4.6099,101.57
4.6152,103.43
4.6237,101.23
4.6301,96.143
4.6375,91.904
4.6429,90.208
4.6492,89.361
4.6567,86.309
4.6694,83.596
4.6779,81.392
4.6843,80.036
4.6917,77.832
4.6928,79.358
4.7002,85.295
4.7066,96.828
4.7129,110.06
4.7224,115.99
4.7288,113.28
4.7363,99.883
4.7427,87.842
4.7448,84.62
4.7491,82.076
4.7554,85.468
4.7629,87.165
4.7671,88.861
4.7724,89.031
4.7767,84.961
4.7841,80.552
4.7916,76.483
4.798,73.6
4.8054,70.039
4.8107,68.344
4.8171,66.818
4.8267,62.07
4.8341,61.731
4.8405,65.123
4.8479,70.042
4.8553,86.663
4.8648,98.875
4.8722,104.98
4.8797,101.93
4.8861,91.923
4.8925,80.73
4.8999,72.59
4.9053,65.129
4.9138,61.568
4.9276,62.417
4.935,68.184
4.9424,76.494
4.9519,88.367
4.9593,98.713
4.9646,110.42
4.9762,130.09
4.9836,148.58
4.9899,162.65
4.9984,172.66
5.0058,175.03
5.0133,167.06
5.0186,153.5
5.0272,134.5
5.0326,112.12
5.04,96.005
5.0464,86.0
5.0539,78.029
5.0603,77.012
5.0677,78.2
5.0741,80.575
5.0815,87.359
5.0899,97.027
5.0974,106.02
5.1048,112.97
5.1143,117.89
5.1185,120.94
5.1281,122.3
5.1376,131.8
5.1429,152.15
5.1524,180.47
5.1587,190.31
5.1661,185.05
5.1736,173.35
5.1789,167.59
5.1864,156.73
5.1949,142.66
5.2045,131.63
5.2109,124.17
5.2184,121.46
5.2248,119.76
5.2322,121.12
5.2407,126.38
5.247,127.06
5.2576,138.93
5.2618,152.67
5.2703,156.57
5.2778,150.97
5.2842,143.17
5.2937,138.08
5.3012,134.18
5.3086,134.35
5.316,142.16
