header,elements,flag,reverse_flag,Q,a0,a1,a2,a3,a4,a5,a6
2,he4;d;d;;;,n,v,-23.847,28.2984,-276.744,-4.26166,-0.119233,0.778829,-0.0925203,0.833333
2,be7;p;li6;;;,n,v,-5.606,37.4661,-65.0548,-8.4372,-0.515473,0.0285578,0.00879731,0.833333
2,b8;p;be7;;;,n,v,-0.137,35.8138,-1.58982,-10.264,-0.203472,0.121083,-0.00700063,0.833333
2,b8;p;be7;;;,r,v,-0.137,31.0163,-8.93482,0.0,0.0,0.0,0.0,0.0
2,b10;p;be9;;;,r,v,-6.586,30.6751,-79.0223,0.0,0.0,0.0,0.0,0.0
2,b10;p;be9;;;,n,v,-6.586,39.2789,-76.4272,-10.361,0.695179,0.342365,-0.356569,0.833333
2,b10;p;be9;;;,r,v,-6.586,37.9538,-87.9663,0.0,0.0,0.0,0.0,0.0
2,b11;he4;li7;;;,r,v,-8.664,35.1078,-106.983,0.0,0.0,0.190698,0.0,0.0
2,b11;he4;li7;;;,r,v,-8.664,30.2249,-103.501,0.0,0.0,0.0,0.0,0.0
2,b11;he4;li7;;;,n,v,-8.664,42.8425,-100.541,-19.163,0.0587651,0.773338,-0.201519,0.833333
2,c11;p;b10;;;,r,v,-8.689,11.0036,-105.289,105.797,-86.6739,1.95564,-0.0113213,62.4579
2,c11;p;b10;;;,n,v,-8.689,64.5157,-100.831,-13.4089,-66.1173,163.12,-250.002,0.833333
2,c11;he4;be7;;;,r,v,-7.544,36.2917,-97.7214,0.0,0.685881,-0.697071,0.13274,0.0
2,c11;he4;be7;;;,r,v,-7.544,33.8476,-94.0424,0.0,0.0,0.0,0.0,0.0
2,c11;he4;be7;;;,n,v,-7.544,48.6414,-87.5443,-23.214,-3.74943,1.23242,-0.195665,0.833333
2,n14;p;c13;;;,r,v,-7.551,37.1528,-93.4071,0.0,-0.196703,0.142126,-0.0238912,0.0
2,n14;p;c13;;;,r,v,-7.551,38.3716,-101.18,0.0,0.0,0.0,0.0,0.0
2,n14;p;c13;;;,n,v,-7.551,41.7046,-87.6256,-13.72,-0.450018,3.70823,-1.70545,0.833333
2,ne20;p;f19;;;,r,v,-12.843,18.691,-156.781,31.6442,-58.6563,67.7365,-22.9721,0.0
2,ne20;p;f19;;;,r,v,-12.843,36.7036,-150.75,-11.3832,5.47872,-1.07203,0.11196,0.0
2,ne20;p;f19;;;,n,v,-12.843,42.6027,-149.037,-18.116,-1.4622,6.95113,-2.90366,0.833333
4,d;d;he4;;;,n, ,23.847,3.78177,0.0,-4.26166,-0.119233,0.778829,-0.0925203,-0.666667
4,p;li6;be7;;;,n, ,5.606,14.2792,0.0,-8.4372,-0.515473,0.0285578,0.00879731,-0.666667
4,he4;li7;b11;;;,r, ,8.664,5.81084,-2.95915,0.0,0.0,0.0,0.0,-1.5
4,he4;li7;b11;;;,n, ,8.664,18.4284,0.0,-19.163,0.0587651,0.773338,-0.201519,-0.666667
4,he4;li7;b11;;;,r, ,8.664,10.6937,-6.44203,0.0,0.0,0.190698,0.0,-1.5
4,p;be7;b8;;;,r, ,0.137,7.73399,-7.345,0.0,0.0,0.0,0.0,-1.5
4,p;be7;b8;;;,n, ,0.137,12.5315,0.0,-10.264,-0.203472,0.121083,-0.00700063,-0.666667
4,he4;be7;c11;;;,r, ,7.544,9.43348,-6.498,0.0,0.0,0.0,0.0,-1.5
4,he4;be7;c11;;;,n, ,7.544,24.2273,0.0,-23.214,-3.74943,1.23242,-0.195665,-0.666667
4,he4;be7;c11;;;,r, ,7.544,11.8776,-10.177,0.0,0.685881,-0.697071,0.13274,-1.5
4,p;be9;b10;;;,r, ,6.586,14.9657,-11.5391,0.0,0.0,0.0,0.0,-1.5
4,p;be9;b10;;;,r, ,6.586,7.68698,-2.59506,0.0,0.0,0.0,0.0,-1.5
4,p;be9;b10;;;,n, ,6.586,16.2908,0.0,-10.361,0.695179,0.342365,-0.356569,-0.666667
4,p;b10;c11;;;,n, ,8.689,40.3933,0.0,-13.4089,-66.1173,163.12,-250.002,-0.666667
4,p;b10;c11;;;,r, ,8.689,-13.1188,-4.45749,105.797,-86.6739,1.95564,-0.0113213,60.9579
4,p;c13;n14;;;,r, ,7.551,13.9637,-5.78147,0.0,-0.196703,0.142126,-0.0238912,-1.5
4,p;c13;n14;;;,r, ,7.551,15.1825,-13.5543,0.0,0.0,0.0,0.0,-1.5
4,p;c13;n14;;;,n, ,7.551,18.5155,0.0,-13.72,-0.450018,3.70823,-1.70545,-0.666667
4,p;f19;ne20;;;,n, ,12.843,18.2807,0.0,-18.116,-1.4622,6.95113,-2.90366,-0.666667
4,p;f19;ne20;;;,r, ,12.843,-5.63093,-7.74414,31.6442,-58.6563,67.7365,-22.9721,-1.5
4,p;f19;ne20;;;,r, ,12.843,12.3816,-1.71383,-11.3832,5.47872,-1.07203,0.11196,-1.5
4,p;al*6;si27;;;, , ,7.691,-19.3724,-0.790859,0.0,0.0,0.0,0.0,-1.5
4,p;al*6;si27;;;, , ,7.691,9.35963,-3.77549,0.0,0.0,0.0,0.0,-1.5
4,p;al*6;si27;;;, , ,7.691,2.64338,-2.20971,0.0,0.0,0.0,0.0,-1.5
4,p;al*6;si27;;;, , ,7.691,-12.5313,-1.15613,0.0,0.0,0.0,0.0,-1.5
5,he4;be7;p;b10;;,r,v,-1.145,-6.7467,-13.8479,0.532995,22.8893,-3.08149,0.218269,-1.5
5,he4;be7;p;b10;;,n,v,-1.145,43.9213,-13.2872,-12.9754,-44.3224,62.9626,-49.5228,-0.666667
5,p;b10;he4;be7;;,n, ,1.145,44.213,0.0,-12.9754,-44.3224,62.9626,-49.5228,-0.666667
5,p;b10;he4;be7;;,r, ,1.145,-6.45503,-0.560753,0.532995,22.8893,-3.08149,0.218269,-1.5
5,he4;c12;p;n15;;,r,v,-4.966,-5.2319,-59.6491,0.0,30.8497,-8.50433,-1.54426,-1.5
5,he4;c12;p;n15;;,n,v,-4.966,27.118,-57.6279,-15.253,1.59318,2.4479,-2.19708,-0.666667
5,he4;c12;p;n15;;,r,v,-4.966,-6.93365,-58.7917,0.0,22.7105,-2.90707,0.205754,-1.5
5,he4;c12;p;n15;;,r,v,-4.966,20.5388,-65.034,0.0,0.0,0.0,0.0,-1.5
5,p;c13;n;n13;;,n, ,-3.003,17.7625,-34.8483,0.0,1.26126,-0.204952,0.0310523,0.0
5,n;n13;p;c13;;,n,v,3.003,17.7625,0.0,0.0,1.26126,-0.204952,0.0310523,0.0
5,p;n14;n;o14;;, , ,-5.925,11.3432,-68.7567,0.0,5.48024,-0.764072,0.0587804,0.0
5,he4;n14;n;f17;;, , ,-4.735,19.2094,-54.9473,0.0,-0.712285,0.240317,-0.0201705,0.0
5,p;n15;n;o15;;,n, ,-3.536,18.3942,-41.0335,0.0,0.331392,0.0171473,0.0,0.0
5,p;n15;he4;c12;;,n, ,4.966,27.4764,0.0,-15.253,1.59318,2.4479,-2.19708,-0.666667
5,p;n15;he4;c12;;,r, ,4.966,-6.57522,-1.1638,0.0,22.7105,-2.90707,0.205754,-1.5
5,p;n15;he4;c12;;,r, ,4.966,20.8972,-7.406,0.0,0.0,0.0,0.0,-1.5
5,p;n15;he4;c12;;,r, ,4.966,-4.87347,-2.02117,0.0,30.8497,-8.50433,-1.54426,-1.5
5,n;o14;p;n14;;, ,v,5.925,12.4418,0.0,0.0,5.48024,-0.764072,0.0587804,0.0
5,n;o15;p;n15;;,n,v,3.536,18.3942,0.0,0.0,0.331392,0.0171473,0.0,0.0
5,he4;o16;p;f19;;, ,v,-8.114,14.7601,-97.9108,0.0,0.0,0.0,0.0,-1.5
5,he4;o16;p;f19;;, ,v,-8.114,7.80363,-96.6272,0.0,0.0,0.0,0.0,-1.5
5,he4;o16;p;f19;;, ,v,-8.114,-53.1397,-94.2866,0.0,0.0,0.0,0.0,-1.5
5,he4;o16;p;f19;;, ,v,-8.114,25.8562,-94.1589,-18.116,0.0,1.86674,-7.5666,-0.666667
5,he4;o16;p;f19;;,r,v,-8.114,13.9232,-97.4449,0.0,0.0,-0.21103,0.0,2.87702
5,he4;o17;n;ne20;;,r, ,0.586,1.80342,-13.8,0.0,12.6501,-1.10938,0.0696232,-1.5
5,he4;o17;n;ne20;;,r, ,0.586,7.45588,-8.55,0.0,0.0,0.0,0.0,-1.5
5,he4;o17;n;ne20;;,n, ,0.586,40.621,0.0,-39.918,0.0,0.227017,-0.900234,-0.666667
5,he4;o18;n;ne21;;, , ,-0.697,2.51575,-8.41969,0.0,6.51299,-0.334277,0.0,2.0
5,he4;o18;n;ne21;;, , ,-0.697,1.3415,-15.444,0.0,11.656,-1.24869,0.0,1.0
5,he4;o18;n;ne21;;,n, ,-0.697,2.82796,-8.085,0.0,0.0,0.0,0.0,0.0
5,n;f17;he4;n14;;, ,v,4.735,19.6113,0.0,0.0,-0.712285,0.240317,-0.0201705,0.0
5,he4;f17;p;ne20;;, ,v,4.13,38.6287,0.0,-43.18,4.46827,-1.63915,0.123483,-0.666667
5,p;f19;n;ne19;;, , ,-4.021,15.6732,-46.6617,0.0,4.34441,-1.71268,0.0,0.0
5,p;f19;n;ne19;;, , ,-4.021,20.353,-46.6617,0.0,-1.58171,0.0324472,0.0,1.0
5,p;f19;he4;o16;;, , ,8.114,15.1955,-3.75185,0.0,0.0,0.0,0.0,-1.5
5,p;f19;he4;o16;;, , ,8.114,8.239,-2.46828,0.0,0.0,0.0,0.0,-1.5
5,p;f19;he4;o16;;, , ,8.114,-52.7043,-0.12765,0.0,0.0,0.0,0.0,-1.5
5,p;f19;he4;o16;;, , ,8.114,26.2916,0.0,-18.116,0.0,1.86674,-7.5666,-0.666667
5,p;f19;he4;o16;;,r, ,8.114,14.3586,-3.286,0.0,0.0,-0.21103,0.0,2.87702
5,n;ne19;p;f19;;, ,v,4.021,15.6732,0.0,0.0,4.34441,-1.71268,0.0,0.0
5,n;ne19;p;f19;;, ,v,4.021,20.353,0.0,0.0,-1.58171,0.0324472,0.0,1.0
5,n;ne20;he4;o17;;,r,v,-0.586,4.7377,-20.6002,0.0,12.6501,-1.10938,0.0696232,-1.5
5,n;ne20;he4;o17;;,r,v,-0.586,10.3902,-15.3502,0.0,0.0,0.0,0.0,-1.5
5,n;ne20;he4;o17;;,n,v,-0.586,43.5553,-6.80024,-39.918,0.0,0.227017,-0.900234,-0.666667
5,p;ne20;he4;f17;;, , ,-4.13,41.563,-47.9266,-43.18,4.46827,-1.63915,0.123483,-0.666667
5,n;ne21;he4;o18;;, ,v,0.697,2.28452,-0.331353,0.0,6.51299,-0.334277,0.0,2.0
5,n;ne21;he4;o18;;, ,v,0.697,1.11027,-7.35566,0.0,11.656,-1.24869,0.0,1.0
5,n;ne21;he4;o18;;,n,v,0.697,2.59673,0.0033365,0.0,0.0,0.0,0.0,0.0
5,he4;ne21;n;mg24;;,r, ,2.555,-7.26831,-13.2638,0.0,18.0748,-0.981883,0.0,-1.5
5,he4;ne21;n;mg24;;,n, ,2.555,43.9762,0.0,-46.88,-0.536629,0.144715,-0.197624,-0.666667
5,he4;na21;p;mg24;;, ,v,6.885,39.8144,0.0,-49.9621,5.90498,-1.6598,0.117817,-0.666667
5,p;na23;n;mg23;;, , ,-4.839,19.4638,-56.1542,0.0,0.993488,-0.257094,0.0284334,0.0
5,he4;na23;n;al-6;;,r, ,-2.966,16.596,-39.258,0.0,-2.26901,-5.15477,-4.39641,0.0
5,he4;na23;n;al-6;;, , ,-2.966,16.6779,-34.4189,0.0,0.290856,-0.082459,0.0216494,0.0
5,he4;na23;n;al*6;;, , ,-3.194,12.9794,-37.0648,0.0,2.02478,-0.461223,0.0619209,0.0
5,n;mg23;p;na23;;, ,v,4.839,19.4638,0.0,0.0,0.993488,-0.257094,0.0284334,0.0
5,n;mg24;he4;ne21;;,r,v,-2.555,-4.69602,-42.9133,0.0,18.0748,-0.981883,0.0,-1.5
5,n;mg24;he4;ne21;;,n,v,-2.555,46.5485,-29.6495,-46.88,-0.536629,0.144715,-0.197624,-0.666667
5,p;mg24;he4;na21;;, , ,-6.885,42.3867,-79.897,-49.9621,5.90498,-1.6598,0.117817,-0.666667
5,he4;mg25;n;si28;;, , ,2.654,38.337,0.0,-53.416,8.01209,-2.64791,0.218637,0.333333
5,he4;mg25;n;si28;;,n, ,2.654,45.7613,0.0,-53.415,-1.46489,1.7777,-0.903499,-0.666667
5,he4;mg26;n;si29;;,r, ,0.034,15.7057,-18.73,0.0,-9.54056,4.71712,-0.461053,-1.5
5,he4;mg26;n;si29;;,n, ,0.034,45.8397,0.0,-53.505,0.045598,-0.194481,-0.0748153,-0.666667
5,n;al-6;he4;na23;;,r,v,2.966,16.7868,-4.83905,0.0,-2.26901,-5.15477,-4.39641,0.0
5,n;al-6;he4;na23;;, ,v,2.966,16.8687,0.0,0.0,0.290856,-0.082459,0.0216494,0.0
5,n;al*6;he4;na23;;, ,v,3.194,15.5681,0.0,0.0,2.02478,-0.461223,0.0619209,0.0
5,he4;al27;n;p30;;, , ,-2.643,6.09163,-30.667,0.0,5.40982,-0.265676,0.0,1.0
5,he4;al27;n;p30;;, , ,-2.643,11.3074,-30.667,0.0,0.311974,-2.02044,0.0,0.0
5,n;si28;he4;mg25;;, ,v,-2.654,41.3451,-30.7983,-53.416,8.01209,-2.64791,0.218637,0.333333
5,n;si28;he4;mg25;;,n,v,-2.654,48.7694,-30.7983,-53.415,-1.46489,1.7777,-0.903499,-0.666667
5,n;si29;he4;mg26;;,r,v,-0.034,16.235,-19.1246,0.0,-9.54056,4.71712,-0.461053,-1.5
5,n;si29;he4;mg26;;,n,v,-0.034,46.369,-0.394553,-53.505,0.045598,-0.194481,-0.0748153,-0.666667
5,n;p30;he4;al27;;, ,v,2.643,13.2288,0.0036935,0.0,0.311974,-2.02044,0.0,0.0
5,n;p30;he4;al27;;, ,v,2.643,8.01303,0.0036935,0.0,5.40982,-0.265676,0.0,1.0
6,he3;he3;p;p;he4;,n, ,12.859,24.7788,0.0,-12.277,-0.103699,-0.0649967,0.0168191,-0.666667
6,p;b11;he4;he4;he4;,r, ,8.682,-14.9395,-1.724,8.49175,27.3254,-3.72071,0.275516,-1.5
6,p;b11;he4;he4;he4;,n, ,8.682,28.6442,0.0,-12.097,-0.0496312,0.687736,-0.564229,-0.666667
9,p;p;he4;he3;he3;,n,v,-12.859,2.98257,-149.222,-12.277,-0.103699,-0.0649967,0.0168191,-2.16667
9,he4;he4;he4;p;b11;,r,v,-8.682,-36.7224,-102.474,8.49175,27.3254,-3.72071,0.275516,-3.0
9,he4;he4;he4;p;b11;,n,v,-8.682,6.8613,-100.75,-12.097,-0.0496312,0.687736,-0.564229,-2.16667
