E,sigma_mb,sigma_err_mb,proj
3.3,0.0,,p
3.6,0.5,0.15,p
3.67,0.9,0.05,p
3.73,1.4,0.07,p
3.8,2.0,0.10,p
3.9,2.8,0.14,p
4.1,13.0,8.0,n
4.35,9.7,0.5,p
4.4,17.0,7.0,n
4.6,25.0,6.0,n
4.7,17.5,0.9,p
4.9,21.0,1.1,p
4.9,34.0,6.0,n
5.2,45.0,6.0,n
5.5,34.0,1.7,p
5.85,61.0,7.0,n
6.11,67.0,7.0,n
6.4,62.0,7.0,n
6.5,65.0,10.0,p
6.55,73.0,7.0,n
7.32,88.0,9.0,n
8.26,110.0,10.0,n
9.0,110.0,6.0,p
10.2,140.0,15.0,n
14.1,180.0,20.0,n
14.1,180.0,7.0,n
77.0,84.0,10.0,p
95.0,67.0,9.0,p
135.0,62.2,3.0,p
18400.0,64.9,0.8,p